index,year,NOx,NMVOC,SO2,NH3,PM2.5,PM10,TSP,BC,CO
Fugitive,2014,1.9152485822388203,44.29702836732101,6.397242813720779,0.0021337409999999998,0.9989034138699999,4.9432907749999995,15.57786497458,0.023890705533800002,6.007544810578161
Fugitive,2015,1.9895487484859566,44.235272771223045,6.496420497811244,0.00214104,0.9893703828,4.925283405,15.41890408,0.023468758571999995,5.907290740384165
Fugitive,2016,1.9080475931590264,44.34981741489529,6.4066937141938745,0.0022838571000000003,0.9440552088219999,4.728306275,14.50629142,0.02353702182278,5.441050877343152
Fugitive,2017,1.8591502682438072,44.189110950662446,6.324367515434192,0.0022719312639,0.955578346700398,4.7384944955,14.021468618439998,0.02461100807419502,4.956080376702056
Fugitive,2018,1.783255140287552,43.25826190754484,5.971403122073847,0.0022775313,0.929050457766,4.5996760856,13.997428814000001,0.024537223526339996,5.154455728838236
Fugitive,2019,1.79022248655224,43.4387601604592,5.96422087925256,0.0018943338,0.7641690386159999,3.6694454204,12.25725043976,0.02421448308084,5.289616368520389
Industry,1990,510.10415529122884,92.18225203491298,1779.5844572006542,18.911874912,0.0,0.0,988.8593265909849,0.0,1561.5285013100522
Industry,1991,430.3008677726606,88.56718778187877,1349.4969375470077,13.866158115771427,0.0,0.0,593.0419228218441,0.0,1418.3690285944128
Industry,1992,368.85671768349846,89.68214645636631,1051.3319049332383,12.73001509762857,0.0,0.0,436.3878516979475,0.0,1303.1226851744912
Industry,1993,327.68832521582556,93.77785383666122,947.5240399847819,12.19149167002857,0.0,0.0,379.46353457943275,0.0,1221.19421199944
Industry,1994,301.8425486424489,100.062296683472,707.6905940077655,11.451148105142858,0.0,0.0,353.2725969314605,0.0,1285.151504425609
Industry,1995,305.31769564057925,46.380040072587306,388.17301869951865,13.501486465717734,46.364684459303554,140.22186342551637,315.84340936287464,0.0,1286.65281070849
Industry,1996,286.2015126796921,43.60048687373364,330.2622384602642,13.80345328891971,43.49538060732329,133.5093016153776,303.2676256436193,0.0,1208.5759422828103
Industry,1997,283.39138525198325,42.93083962874192,308.74669374539315,12.69498557362559,45.35580755137653,140.62581792097825,322.4322832389174,0.0,1264.571972999125
Industry,1998,271.6597427170674,41.00771031215363,271.3736489749777,13.042891382496077,43.526538857082464,137.355782176762,318.91472891416,0.0,1220.9625990392578
Industry,1999,260.46827466374015,41.37628244585087,249.49224646724477,12.981541082195612,41.84318423972789,135.52848101658645,317.5896932382567,0.0,1135.0259423019766
Industry,2000,256.0764167318551,40.66276337807501,235.0920567917598,13.860183654523777,39.405686800714946,126.94087680404627,300.3065936243652,0.3846249437761658,1204.8320450349638
Industry,2001,238.88240459795313,38.87810037339103,222.04312336211945,12.414483036761606,36.05841364263867,114.47816097168821,268.99557043330594,0.3880444043566365,1141.8957208138643
Industry,2002,236.59248054945408,39.13726514939316,214.5833094852449,13.063436749693894,34.6155402611671,112.3825538065285,269.01259941049386,0.39237642440475295,1106.5925465878256
Industry,2003,238.73005388620976,40.17138655715639,212.2681378019568,13.30000475782366,33.145253624254856,103.78956438439305,245.31924069272335,0.3890405432581124,1173.0587382485617
Industry,2004,234.22156374251486,43.27729491346478,209.7314608732081,13.357528493302453,31.77099543601916,99.70939737931039,235.43043864408432,0.3796343621644881,1140.3699828622916
